"STRNO","STRDIR","STRNAME","STRTYPE","SUITE_NUM","BUS_NAME","OWNER1","OWNER2","AREA_CODE","PHONE_NUM","WARD","MAIL_ADDR","MAIL_CITY","MAIL_ZIP","INACTIV","INACDT","OWNER_TYPE","CORP_NAME","TITLE1","TITLE2","BUS_TYPE","NAICS","CLV_MJBL","HEN_MJBL","NLV_MJBL","CC_MJBL","CAT_DESC","STATUS","BUS_ADDRESS","ZIP","LIC_NUM"
"8","E","CHARLESTON","BL","","NOVUS ARCHITECTURE","ESHENBAUGH, DWAYNE RUSSELL","","0","5229292","3","8 E CHARLESTON BL","LAS VEGAS NV","891040000","","0","C","NOVUS ARCHITECTURE LLC","PRES 100%","","ARCHITECTURE FIRM","541310","","","","","PROFESSIONAL SERVICES","ACTIVE","8 E CHARLESTON BL","89104","P50  8631158122"
"8","E","CHARLESTON","BL","","VERGE MARKETING GROUP","SAVELLO, DENISE","SAVELLO, CATHERINE","702","9490890","3","8 E CHARLESTON BL","LAS VEGAS NV","891040000","C","20111109","C","SAVELLO GROUP INC","PRES 50%","SEC 50%","DESKTOP PUBLISHER","51113","","","","","PUBLISH / NEWSPAPER","IN COLLECTIONS","8 E CHARLESTON BL","89104","P60  1866149967"
"9","","FIREDRAKE","TE","","MARTIN HOMES  INC.","","","702","2601221","0","1000 N GREEN VALLEY PKWY STE 4","HENDERSON NV","890740000","E","20130430","","","","","CONTRACTOR","0","S","P","","S","CONTRACTOR (MJBL)","EXPIRED","9 FIREDRAKE TE","89074","C25999995999999"
"9","","GREELY CLUB","TR","","ECOLOGIC CONSTRUCTION","HYDE, CATHERINE","","702","2545582","0","9 GREELY CLUB TRAIL","HENDERSON NV","890520000","O","20120816","C","P & C LLC","OWNER 100%","","CONTRACTOR","236","P","","","","CONTRACTOR (MJBL)","OUT OF BUSINESS","9 GREELY CLUB TR","89052","C25 16945139562"
"9","","GREELY CLUB","TR","","ECOLOGIC CONSTRUCTION","","","702","2545582","0","C/O CATHERINE HYDE 9 GREELY CL","HENDERSON NV","890520000","","20131031","","","","","CONTRACTOR","0","S","P","","S","CONTRACTOR (MJBL)","ACTIVE","9 GREELY CLUB TR","89052","C25999995999999"
"9","","LASWELL","ST","","ABC CHEWING AND BUBBLE GUM REM","ANDERSON, JONATHAN","","702","5334830","0","9 LASWELL ST","HENDERSON NV","890150000","O","20100927","S","","OWNER 100%","","GUM REMOVAL","561720","","","","","INDOOR/OUTDOOR MAINT REP","OUT OF BUSINESS","9 LASWELL ST","89015","R60 21813123611"
"9","","SUNSET","WY","","A T I  WINDOWS","SCHWARTZ, DANIEL","SCHWARTZ, STEPHEN","702","2539990","0","9 SUNSET WY","HENDERSON NV","890140000","O","20120627","C","CLARK COUNTY WINDOW INC","PRES 50%","TREAS 50%","CONTRACTOR","236","P","","","","CONTRACTOR (MJBL)","OUT OF BUSINESS","9 SUNSET WY","89014","C25 17005139591"
"9","E","BROOKS","AV","","J R LIGHTING","REID, JAMES","SKRENES, MARY","0","6495555","0","9 E BROOKS AV","NORTH LAS VEGAS NV","890303960","","19980427","C","J R LIGHTING INC","PRES","VP","LIGHTING CONSULTANT","999999","","","","","INTR-JURIS MOB SVC OP","ACTIVE","9 E BROOKS AV","89030","T10 33946 47658"
"18","","FREMONT","ST","","VIVA VEGAS LV CLUB","AKERMAN, ARIEL","GUIDO, AKERMAN","702","7322193","5","2000 LAS VEGAS BL 49","LAS VEGAS NV","891040000","","0","C","ARLENI LLC","MMBR","MMBR","GIFT SHOP","45322","","","","","GENERAL SALES","ACTIVE","18 FREMONT ST","89104","G50943053165078"
"18","","FREMONT","ST","","ZABAS AT THE PLAZA","TERKERHORN, ROBERT","BTH FOOD, LLC","702","5571021","5","10009 PINNACLE PASS DR","LAS VEGAS NV","891170000","","0","C","BURRITOS AT THE PLAZA LLC","MGR 0%","MBR 50%","TAKE OUT RESTAURANT","722320","","","","","FOOD CATERER","ACTIVE","18 FREMONT ST","89117","R10 12136163412"
"18","","FREMONT","ST","","GIFT SHOP","DESAGE, RAMON","","0","4331333","5","3494 E SUNSET RD","LAS VEGAS NV","891200000","O","20121229","C","BERYT PROMOTIONS LLC","1005","","TOBACCO DEALER","453991","","","","","TOBACCO DEALER-RETAIL","OUT OF BUSINESS","18 FREMONT ST","89120","C05 2786A156773"
"18","","FREMONT","ST","","GIFT SHOP","BARTON, SONY A","DESAGE, RAMON","0","4331333","5","3494 E SUNSET RD","LAS VEGAS NV","891200000","O","20121229","C","BERYT PROMOTIONS LLC","MEMBER","100%","GIFT SHOP","45322","","","","","GENERAL SALES","OUT OF BUSINESS","18 FREMONT ST","89120","G50 46221156773"
"18","","FREMONT","ST","","LAS VEGAS JERKYS ETC INC","HIGA, HARVEY","HIGA, KARI","0","3857991","5","10159 SONGSPARROW CT","LAS VEGAS NV","891350000","","0","C","LAS VEGAS JERKYS ETC INC","PRES 90%","SEC 10%","RETAIL PKGD FOOD STO","4452","","","","","FOOD SPECIALTY STORE","ACTIVE","18 FREMONT ST","89135","F50  1343 46681"
"18","","FREMONT","ST","","TINOCOS KITCHEN","CORONA, MARIA V","TINOCO, ENRIQUE","702","3805735","5","1797 BLUE RIBBON DR","LAS VEGAS NV","891420000","O","20100611","C","TINOCOS KITCHEN LLC","MGR 100%","MGR","","722410","","","","","BEER WINE COOLER SALES ON","OUT OF BUSINESS","18 FREMONT ST","89142","L09  2864145412"
"18","","FREMONT","ST","","TINOCOS KITCHEN","CORONA, MARIA V","","702","3805735","5","1797 BLUE RIBBON DR","LAS VEGAS NV","891420000","O","20120621","C","TINOCOS KITCHEN LLC","MGR 100%","","RESTAURANT","722511","","","","","RESTAURANT GT 45","OUT OF BUSINESS","18 FREMONT ST","89142","R09 14871   448"
"18","","FREMONT","ST","","TINOCOS KITCHEN","CORONA, MARIA V","TINOCO, ENRIQUE L","702","3805735","5","2850 S JONES BL 1","LAS VEGAS NV","891460000","O","20130116","C","TINOCOS KITCHEN LLC","MGR 100%","MGR 0%","","722410","","","","","TAVERN","OUT OF BUSINESS","18 FREMONT ST","89146","L16  3224   448"
"29","","PROMONTORY RIDGE","DR","","SIX STAR CONSTRUCTION, INC.","STONESTREET, TIMOTHY","STONESTREET, DANIELLE","702","4009792","0","29 PROMONTORY RIDGE DR","LAS VEGAS NV","891350000","O","20120828","C","SIX STAR CONSTRUCTION INC","PRES 50%","SEC 50%","CONTRACTOR","236","P","","","","CONTRACTOR (MJBL)","OUT OF BUSINESS","29 PROMONTORY RIDGE DR","89135","C25  4915 86249"
"29","N","28TH","ST","","NEVADA PAY PHONE","","","702","8685649","3","3061 SHERIDAN ST","LAS VEGAS NV","891027818","O","20110113","C","STRATA COMMUNICATIONS INC","","","PAY PHONE","812990","","","","","OUTDOOR PAY PHONE (loc)","OUT OF BUSINESS","29 N 28TH ST","89102","P35  7600 34924"
"29","N","28TH","ST","","NEVADA PAY PHONE","","","702","8685651","3","3061 SHERIDAN ST","LAS VEGAS NV","891027818","O","20110113","C","STRATA COMMUNICATIONS INC","","","PAY PHONE","812990","","","","","OUTDOOR PAY PHONE (loc)","OUT OF BUSINESS","29 N 28TH ST","89102","P35  7610 34924"
"29","N","28TH","ST","","DESERT ROSE APARTMENTS","LLC, DESERT ROSE APTS","SHOMOF, IZEK","702","3843101","3","206 W SIXTH ST STE 100","LOS ANGELES CA","900140000","","20121106","C","DESERT ROSE INVESTMENT GROUP L","OWNER 100%","PRES 100%","APARTMENT HOUSE","531110","","","","","APARTMENT HOUSE","ACTIVE","29 N 28TH ST","90014","A07  746G 18065"
"29","N","NELLIS","BL","","H & R BLOCK","GOKEY, TIMOTHY","","0","4388216","3","29 N NELLIS BL","LAS VEGAS NV","891105330","","20120820","C","H & R BLOCK","PRES","","TAX PREPARATION","541219","","","","","BOOKKEEPER","ACTIVE","29 N NELLIS BL","89110","A23 2211F 71355"
"30","","HICKORY","ST","","HOT SHOT PARTY RENTALS","PEREZ, GABRIEL","PEREZ, PERLA M","702","6281701","3","30 HICKORY ST","LAS VEGAS NV","891100000","","0","S","","OWNER 100%","OWNER 100%","PARTY SUPPLIES/EQUIP","54322","","","","","RENTAL & LEASING (IWS)","ACTIVE","30 HICKORY ST","89110","R50  3103161964"
"30","","RESEARCH","LN","","PARK LANDSCAPE INC","CERUL, JOHN P","FAGAN, PHILIP","702","2514235","3","30 RESEARCH LN","LAS VEGAS NV","891010000","","20121101","C","PARK LANDSCAPE INC","PRES 50%","VP 50%","CONTRACTOR","236","P","S","S","S","CONTRACTOR (MJBL)","ACTIVE","30 RESEARCH LN","89101","C25  8095121471"
"30","","SACRAMENTO","DR","","LOTS LAWN SERVICES","TERRONES, LORENZO","","702","8830762","3","30 SACRAMENTO DR","LAS VEGAS NV","891100000","","0","S","","OWNER 100","","LAWN MAINTENANCE","561730","","","","","LAWN/LANDSCAPE MAINT","ACTIVE","30 SACRAMENTO DR","89110","L33 1328D151663"
"55","S","GIBSON","RD","12","NAKED CITY SWEETS","BROWN, NIKAELA ANN","","0","4963148","0","950 SEVEN HILLS DR 1611","HENDERSON NV","890520000","E","20130501","S","","OWNER 100%","","FOOD CATERING","722320","","","","","FOOD CATERER","EXPIRED","55 S GIBSON RD","89052","R10 11823161983"
"55","S","GIBSON","RD","","A 1 ACTION PLUMBING AND ROOTER","PILLATZKI, JASON A","","0","5662100","0","4375 E SAHARA AV 33","LAS VEGAS NV","891040000","C","20120131","C","A 1 ACTION PLUMBING AND ROOTER","OWNER","","CONTRACTOR","236","S","P","","","CONTRACTOR (MJBL)","IN COLLECTIONS","55 S GIBSON RD","89104","C25  1635 95415"
"55","S","GIBSON","RD","109","A 1  ACTION PLUMBING AND ROOTE","","","702","5662100","0","C/O JASON PILLATCKI 4375 E SAH","LAS VEGAS NV","891040000","E","20130430","","","","","CONTRACTOR","0","S","P","","S","CONTRACTOR (MJBL)","EXPIRED","55 S GIBSON RD","89104","C25999995999999"
"55","S","VALLE VERDE","DR","410","S & S INTEGRATIONS LLC","BROOKS, THOMAS","","0","7502626","0","55 S VALLE VERDE DR 410","HENDERSON NV","890120000","","0","C","S & S INTEGRATIONS LLC","OWNER","","BURGLAR ALARM","561621","","","","","BURGLAR ALARM SERVICES","ACTIVE","55 S VALLE VERDE DR","89012","B1394931E164900"
"55","S","VALLE VERDE","DR","410","S & S INTEGRATIONS LLC","","","702","7502626","0","55 S VALLE VERDE DR STE 410","HENDERSON NV","890120000","","20131031","","","","","CONTRACTOR","0","S","P","S","S","CONTRACTOR (MJBL)","ACTIVE","55 S VALLE VERDE DR","89012","C25999995999999"
"57","","SPECTRUM","BL","","INTELLIQUICK DELIVERY INC","SPIZZIRRI, KEITH A","","702","5975055","3","P O BOX 34964","PHOENIX AZ","850670000","","0","C","INTELLIQUICK DELIVERY INC","PRES","","DELIVERY/COURIER SVC","492110","","","","","XPRESS OR DELIVERY SVC","ACTIVE","57 SPECTRUM BL","85067","E03  2606 83226"
"57","E","BASIC","RD","","DELIVERY COMPANY INC THE","HAPROFF, DENNIS","HAPROFF, SUZANNE","702","6140333","0","1641 BRIDLE DR","HENDERSON NV","890020000","O","20110526","C","THE DELIVERY COMPANY INC","PRES 50%","SEC 50%","DELIVERY SERVICE","999999","","","","","INTR-JURIS MOB SVC OP","OUT OF BUSINESS","57 E BASIC RD","89002","T10 38151 88854"
"57","N","ARLINGTON","ST","","PHOTO OPS","CARRANTO, KIMBERLY","CARRANTO, NOEL","0","6839690","3","57 N ARLINGTON ST","LAS VEGAS NV","891100000","O","20110824","S","","OWNER 50%","CO-OWN 50%","PHOTOGRAPHY","541921","","","","","PHOTOGRAPHY BUSINESS","OUT OF BUSINESS","57 N ARLINGTON ST","89110","P06  988F143148"
