Column 1,Column 2,Column 3,Column 4,joined_address,json,lon,lat
114 N 3RD ST,Las Vegas,NV,89101,"114 N 3RD ST, Las Vegas, NV, 89101","[{""place_id"":""5032005234"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.171470718365,36.171570718365,-115.14201005102,-115.14191005102],""lat"":""36.171520718365"",""lon"":""-115.141960051022"",""display_name"":""114, North 3rd Street, Cultural Corridor, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.141960051022,36.171520718365
91 MISTY RAIN ST,Las Vegas,NV,89012,"91 MISTY RAIN ST, Las Vegas, NV, 89012",[],,
29 PROMONTORY RIDGE DR,Las Vegas,NV,89135,"29 PROMONTORY RIDGE DR, Las Vegas, NV, 89135",[],,
110 N 8TH ST,Las Vegas,NV,89125,"110 N 8TH ST, Las Vegas, NV, 89125",[],,
8 E CHARLESTON BL,Las Vegas,NV,89104,"8 E CHARLESTON BL, Las Vegas, NV, 89104",[],,
104 S ROLAND WILEY RD,Las Vegas,NV,89179,"104 S ROLAND WILEY RD, Las Vegas, NV, 89179",[],,
80 E RIO SALADO PK,Las Vegas,NV,85281,"80 E RIO SALADO PK, Las Vegas, NV, 85281",[],,
55 S GIBSON RD,Las Vegas,NV,89052,"55 S GIBSON RD, Las Vegas, NV, 89052",[],,
18 FREMONT ST,Las Vegas,NV,89142,"18 FREMONT ST, Las Vegas, NV, 89142",[],,
41 N MOJAVE RD,Las Vegas,NV,91729,"41 N MOJAVE RD, Las Vegas, NV, 91729",[],,
110 S BRUCE ST,Las Vegas,NV,89101,"110 S BRUCE ST, Las Vegas, NV, 89101","[{""place_id"":""29299802"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""14296052"",""boundingbox"":[""36.1480560302734"",""36.1554107666016"",""-115.125335693359"",""-115.125190734863""],""lat"":""36.151748"",""lon"":""-115.125307"",""display_name"":""South Bruce Street, John S. Park, Five Points, Las Vegas, Clark, Nevada, 89104, United States of America"",""class"":""highway"",""type"":""residential"",""importance"":1.3}]",-115.125307,36.151748
109 COLLEEN DR,Las Vegas,NV,89107,"109 COLLEEN DR, Las Vegas, NV, 89107","[{""place_id"":""5031240019"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.1727702,36.1728702,-115.217702,-115.217602],""lat"":""36.1728202"",""lon"":""-115.217652"",""display_name"":""109, Colleen Drive, Charleston Heights, Las Vegas, Clark, Nevada, 89107, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.217652,36.1728202
29 30TH ST,Las Vegas,NV,89162,"29 30TH ST, Las Vegas, NV, 89162",[],,
110 S RAINBOW BL,Las Vegas,NV,89145,"110 S RAINBOW BL, Las Vegas, NV, 89145",[],,
112 EMERALD FOREST ST,Las Vegas,NV,89145,"112 EMERALD FOREST ST, Las Vegas, NV, 89145","[{""place_id"":""5035027655"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.174708487312,36.174808487312,-115.27528519833,-115.27518519833],""lat"":""36.1747584873121"",""lon"":""-115.275235198328"",""display_name"":""112, Emerald Forest Street, The Pueblo, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.275235198328,36.1747584873121
112 UNDERHILL CT,Las Vegas,NV,89145,"112 UNDERHILL CT, Las Vegas, NV, 89145","[{""place_id"":""5032904360"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.174064653611,36.174164653611,-115.24915732061,-115.24905732061],""lat"":""36.1741146536107"",""lon"":""-115.249107320608"",""display_name"":""112, Underhill Court, Inner Northwest, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.115}]",-115.249107320608,36.1741146536107
101 LUNA WY,Las Vegas,NV,89133,"101 LUNA WY, Las Vegas, NV, 89133",[],,
112 S WATER ST,Las Vegas,NV,89015,"112 S WATER ST, Las Vegas, NV, 89015",[],,
10 E CHARLESTON BL,Las Vegas,NV,89030,"10 E CHARLESTON BL, Las Vegas, NV, 89030",[],,
61 SPECTRUM BL,Las Vegas,NV,43017,"61 SPECTRUM BL, Las Vegas, NV, 43017",[],,
116 MARION DR,Las Vegas,NV,89110,"116 MARION DR, Las Vegas, NV, 89110","[{""place_id"":""5034947061"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.161999498966,36.162099498966,-115.07244918211,-115.07234918211],""lat"":""36.1620494989662"",""lon"":""-115.072399182109"",""display_name"":""116, Marion Drive, Five Points, Las Vegas, Clark, Nevada, 89110, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.072399182109,36.1620494989662
58 RONALD LN,Las Vegas,NV,89110,"58 RONALD LN, Las Vegas, NV, 89110",[],,
4 E CHARLESTON BL,Las Vegas,NV,89104,"4 E CHARLESTON BL, Las Vegas, NV, 89104",[],,
18 FREMONT ST,Las Vegas,NV,89146,"18 FREMONT ST, Las Vegas, NV, 89146",[],,
30 W WYOMING AV,Las Vegas,NV,75221,"30 W WYOMING AV, Las Vegas, NV, 75221",[],,
4 E CHARLESTON BL,Las Vegas,NV,89147,"4 E CHARLESTON BL, Las Vegas, NV, 89147",[],,
100 STEWART AV,Las Vegas,NV,89170,"100 STEWART AV, Las Vegas, NV, 89170",[],,
101 S RAINBOW BL,Las Vegas,NV,89145,"101 S RAINBOW BL, Las Vegas, NV, 89145",[],,
85 N NELLIS BL,Las Vegas,NV,89110,"85 N NELLIS BL, Las Vegas, NV, 89110",[],,
1 FREMONT ST,Las Vegas,NV,89101,"1 FREMONT ST, Las Vegas, NV, 89101","[{""place_id"":""5036394269"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.169704,36.169804,-115.141644,-115.141544],""lat"":""36.169754"",""lon"":""-115.141594"",""display_name"":""1, Fremont Street, Cultural Corridor, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.141594,36.169754
105 W CHARLESTON BL,Las Vegas,NV,89104,"105 W CHARLESTON BL, Las Vegas, NV, 89104",[],,
33 ISLEWORTH DR,Las Vegas,NV,89052,"33 ISLEWORTH DR, Las Vegas, NV, 89052",[],,
101 S RAINBOW BL,Las Vegas,NV,89103,"101 S RAINBOW BL, Las Vegas, NV, 89103",[],,
19 LEWIS AV,Las Vegas,NV,89119,"19 LEWIS AV, Las Vegas, NV, 89119",[],,
44 SULLY CREEK CT,Las Vegas,NV,89148,"44 SULLY CREEK CT, Las Vegas, NV, 89148",[],,
115 S 14TH ST,Las Vegas,NV,89101,"115 S 14TH ST, Las Vegas, NV, 89101","[{""place_id"":""5034789355"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.164508268175,36.164608268175,-115.13052477652,-115.13042477652],""lat"":""36.1645582681749"",""lon"":""-115.130474776524"",""display_name"":""115, South 14th Street, John S. Park, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.130474776524,36.1645582681749
109 S RAINBOW BL,Las Vegas,NV,89119,"109 S RAINBOW BL, Las Vegas, NV, 89119",[],,
19 30TH ST,Las Vegas,NV,89032,"19 30TH ST, Las Vegas, NV, 89032",[],,
29 30TH ST,Las Vegas,NV,89101,"29 30TH ST, Las Vegas, NV, 89101",[],,
2 KIOWA CT,Las Vegas,NV,89074,"2 KIOWA CT, Las Vegas, NV, 89074",[],,
116 N 8TH ST,Las Vegas,NV,89128,"116 N 8TH ST, Las Vegas, NV, 89128",[],,
25 30TH ST,Las Vegas,NV,89149,"25 30TH ST, Las Vegas, NV, 89149",[],,
17 E BROOKS AV,Las Vegas,NV,89030,"17 E BROOKS AV, Las Vegas, NV, 89030","[{""place_id"":""5036103264"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.214147308963,36.214247308963,-115.13826845144,-115.13816845144],""lat"":""36.2141973089628"",""lon"":""-115.138218451442"",""display_name"":""17, East Brooks Avenue, North Las Vegas, Clark, Nevada, 89030, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.138218451442,36.2141973089628
112 PAUL AV,Las Vegas,NV,89104,"112 PAUL AV, Las Vegas, NV, 89104",[],,
111 GAINSWAY WEST DR,Las Vegas,NV,89074,"111 GAINSWAY WEST DR, Las Vegas, NV, 89074","[{""place_id"":""5032055731"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.034556,36.034656,-115.103503,-115.103403],""lat"":""36.034606"",""lon"":""-115.103453"",""display_name"":""111, Gainsway West Drive, Green Valley, Henderson, Clark, Nevada, 89074, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.103453,36.034606
104 HARVARD ST,Las Vegas,NV,89107,"104 HARVARD ST, Las Vegas, NV, 89107","[{""place_id"":""5034016426"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.174748011408,36.174848011408,-115.20755728915,-115.20745728915],""lat"":""36.1747980114075"",""lon"":""-115.207507289149"",""display_name"":""104, Harvard Street, Twin Lakes, Las Vegas, Clark, Nevada, 89107, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.207507289149,36.1747980114075
111 N NELLIS BL,Las Vegas,NV,94102,"111 N NELLIS BL, Las Vegas, NV, 94102",[],,
1 FREMONT ST,Las Vegas,NV,89118,"1 FREMONT ST, Las Vegas, NV, 89118",[],,
76 SPECTRUM BL,Las Vegas,NV,89101,"76 SPECTRUM BL, Las Vegas, NV, 89101",[],,
116 W CHICAGO AV,Las Vegas,NV,90640,"116 W CHICAGO AV, Las Vegas, NV, 90640",[],,
